 ,Voxels,Volume(mm^3),%Volume,Mean,StdDev,Min,Max,Mode,Median
652,21952,175616,100,34005.799,657.621,32618,36495,32799.734,33982
653,21952,175616,100,33797.704,498.509,32688,35949,33834.445,33837
654,21952,175616,100,875.908,297.701,137,1657,1051.375,978
655,21952,175616,100,1000.050,115.768,0,1424,1056.875,1005
656,21952,175616,100,884.672,260.335,11,1680,910.695,945
657,21952,175616,100,1043.965,202.368,139,1706,1069.406,1062
658,21952,175616,100,1047.315,182.345,0,1562,1098.281,1042
659,21952,175616,100,990.992,233.774,0,1529,919.789,981
660,21952,175616,100,32893.275,71.357,32764,33139,32885.582,32889
661,21952,175616,100,32920.340,71.238,32768,33424,32916.625,32918
662,21952,175616,100,32913.541,99.871,32765,33290,32773.203,32908
663,21952,175616,100,32921.858,67.287,32767,33242,32904.305,32914
664,21952,175616,100,33651.641,324.142,32744,35506,33704.227,33675
665,21952,175616,100,32819.770,42.990,32768,33028,32774.094,32821
666,21952,175616,100,33488.584,539.856,32757,35621,32812.938,33478
